Temp (°C): 9.61109 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): 0 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 1.53974 | Solar Rad. (W/m²): 35.0754 | Grav. Anomaly (mGal): -52.1753 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 12.379 | Solar Rad. (W/m²): 35.0754 | Grav. Anomaly (mGal): -52.1753 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 12.379 | Solar Rad. (W/m²): 17.1716 | Grav. Anomaly (mGal): -52.1753 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 11.5318 | Solar Rad. (W/m²): 17.1716 | Grav. Anomaly (mGal): -52.1753 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 11.5318 | Solar Rad. (W/m²): 17.1716 | Grav. Anomaly (mGal): -38.4373 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 10.1354 | Solar Rad. (W/m²): 17.1716 | Grav. Anomaly (mGal): -38.4373 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 2.43926 | Solar Rad. (W/m²): 17.1716 | Grav. Anomaly (mGal): -38.4373 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 2.43926 | Solar Rad. (W/m²): 23.5366 | Grav. Anomaly (mGal): -38.4373 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 2.43926 | Solar Rad. (W/m²): 23.5366 | Grav. Anomaly (mGal): -55.8096 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 11.37 | Solar Rad. (W/m²): 23.5366 | Grav. Anomaly (mGal): -55.8096 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 10.02 | Solar Rad. (W/m²): 23.5366 | Grav. Anomaly (mGal): -55.8096 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 10.02 | Solar Rad. (W/m²): 23.5366 | Grav. Anomaly (mGal): -50.0269 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): -0.597037 | Solar Rad. (W/m²): 23.5366 | Grav. Anomaly (mGal): -50.0269 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): -0.597037 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): -50.0269 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 7.35788 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): -50.0269 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 7.35788 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): -36.8189 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): -2.96365 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): -36.8189 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 3.72433 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): -36.8189 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 3.72433 | Solar Rad. (W/m²): 29.8211 | Grav. Anomaly (mGal): -46.6494 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 3.72433 | Solar Rad. (W/m²): 29.8211 | Grav. Anomaly (mGal): -46.6494 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 4.31326 | Solar Rad. (W/m²): 29.8211 | Grav. Anomaly (mGal): -46.6494 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 5.97275 | Solar Rad. (W/m²): 29.8211 | Grav. Anomaly (mGal): -46.6494 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 5.97275 | Solar Rad. (W/m²): 29.8211 | Grav. Anomaly (mGal): -30.3558 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): -1.62637 | Solar Rad. (W/m²): 29.8211 | Grav. Anomaly (mGal): -30.3558 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): -1.62637 | Solar Rad. (W/m²): 68.0404 | Grav. Anomaly (mGal): -30.3558 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 2.72079 | Solar Rad. (W/m²): 68.0404 | Grav. Anomaly (mGal): -30.3558 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 2.72079 | Solar Rad. (W/m²): 68.0404 | Grav. Anomaly (mGal): -20.92 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 3.60462 | Solar Rad. (W/m²): 68.0404 | Grav. Anomaly (mGal): -20.92 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 15.5309 | Solar Rad. (W/m²): 68.0404 | Grav. Anomaly (mGal): -20.92 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 15.5309 | Solar Rad. (W/m²): 51.657 | Grav. Anomaly (mGal): -35.877 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 15.5309 | Solar Rad. (W/m²): 51.657 | Grav. Anomaly (mGal): -35.877 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 13.5176 | Solar Rad. (W/m²): 51.657 | Grav. Anomaly (mGal): -35.877 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 3.69138 | Solar Rad. (W/m²): 51.657 | Grav. Anomaly (mGal): -35.877 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 3.69138 | Solar Rad. (W/m²): 51.657 | Grav. Anomaly (mGal): -54.0507 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 5.9699 | Solar Rad. (W/m²): 51.657 | Grav. Anomaly (mGal): -54.0507 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 5.9699 | Solar Rad. (W/m²): 95.7732 | Grav. Anomaly (mGal): -54.0507 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): -5.90973 | Solar Rad. (W/m²): 95.7732 | Grav. Anomaly (mGal): -54.0507 | ATCS Status: On | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -5.90973 | Solar Rad. (W/m²): 95.7732 | Grav. Anomaly (mGal): -67.7255 | ATCS Status: On | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): 4.11435 | Solar Rad. (W/m²): 95.7732 | Grav. Anomaly (mGal): -67.7255 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 8.84657 | Solar Rad. (W/m²): 95.7732 | Grav. Anomaly (mGal): -67.7255 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 8.84657 | Solar Rad. (W/m²): 125.81 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 8.84657 | Solar Rad. (W/m²): 125.81 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): -0.514242 | Solar Rad. (W/m²): 125.81 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 8.30699 | Solar Rad. (W/m²): 125.81 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 8.30699 | Solar Rad. (W/m²): 125.81 | Grav. Anomaly (mGal): -53.2377 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 5.16726 | Solar Rad. (W/m²): 125.81 | Grav. Anomaly (mGal): -53.2377 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 5.16726 | Solar Rad. (W/m²): 100.173 | Grav. Anomaly (mGal): -53.2377 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): -0.667541 | Solar Rad. (W/m²): 100.173 | Grav. Anomaly (mGal): -53.2377 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): -0.667541 | Solar Rad. (W/m²): 100.173 | Grav. Anomaly (mGal): -62.4119 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 0.275124 | Solar Rad. (W/m²): 100.173 | Grav. Anomaly (mGal): -62.4119 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 9.22984 | Solar Rad. (W/m²): 100.173 | Grav. Anomaly (mGal): -62.4119 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 9.22984 | Solar Rad. (W/m²): 111.03 | Grav. Anomaly (mGal): -62.4119 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 9.22984 | Solar Rad. (W/m²): 111.03 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 1.10157 | Solar Rad. (W/m²): 111.03 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 1.62862 | Solar Rad. (W/m²): 111.03 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 1.62862 | Solar Rad. (W/m²): 111.03 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 11.9735 | Solar Rad. (W/m²): 111.03 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 11.9735 | Solar Rad. (W/m²): 78.1007 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 4.27824 | Solar Rad. (W/m²): 78.1007 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 4.27824 | Solar Rad. (W/m²): 78.1007 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 13.5934 | Solar Rad. (W/m²): 78.1007 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 3.80826 | Solar Rad. (W/m²): 78.1007 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 3.80826 | Solar Rad. (W/m²): 82.9856 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 3.80826 | Solar Rad. (W/m²): 82.9856 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 5.91975 | Solar Rad. (W/m²): 82.9856 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 2.44121 | Solar Rad. (W/m²): 82.9856 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 2.44121 | Solar Rad. (W/m²): 82.9856 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 10.8685 | Solar Rad. (W/m²): 82.9856 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 10.8685 | Solar Rad. (W/m²): 60.0975 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 9.45471 | Solar Rad. (W/m²): 60.0975 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 9.45471 | Solar Rad. (W/m²): 60.0975 | Grav. Anomaly (mGal): -55.2304 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 2.81458 | Solar Rad. (W/m²): 60.0975 | Grav. Anomaly (mGal): -55.2304 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 3.81385 | Solar Rad. (W/m²): 60.0975 | Grav. Anomaly (mGal): -55.2304 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 3.81385 | Solar Rad. (W/m²): 12.3116 | Grav. Anomaly (mGal): -55.2304 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 3.81385 | Solar Rad. (W/m²): 12.3116 | Grav. Anomaly (mGal): -47.1398 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 5.33883 | Solar Rad. (W/m²): 12.3116 | Grav. Anomaly (mGal): -47.1398 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 0.00673634 | Solar Rad. (W/m²): 12.3116 | Grav. Anomaly (mGal): -36.0463 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 0.00673634 | Solar Rad. (W/m²): 12.3116 | Grav. Anomaly (mGal): -36.0463 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 0.00673634 | Solar Rad. (W/m²): 47.155 | Grav. Anomaly (mGal): -36.0463 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 6.96331 | Solar Rad. (W/m²): 47.155 | Grav. Anomaly (mGal): -36.0463 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 6.96331 | Solar Rad. (W/m²): 47.155 | Grav. Anomaly (mGal): -55.4625 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 0.434966 | Solar Rad. (W/m²): 47.155 | Grav. Anomaly (mGal): -55.4625 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 10.6425 | Solar Rad. (W/m²): 47.155 | Grav. Anomaly (mGal): -55.4625 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 10.6425 | Solar Rad. (W/m²): 20.5739 | Grav. Anomaly (mGal): -55.4625 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 10.6425 | Solar Rad. (W/m²): 20.5739 | Grav. Anomaly (mGal): -58.1044 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 2.73476 | Solar Rad. (W/m²): 20.5739 | Grav. Anomaly (mGal): -58.1044 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 13.6913 | Solar Rad. (W/m²): 20.5739 | Grav. Anomaly (mGal): -58.1044 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 13.6913 | Solar Rad. (W/m²): 20.5739 | Grav. Anomaly (mGal): -52.3698 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 8.58073 | Solar Rad. (W/m²): 20.5739 | Grav. Anomaly (mGal): -52.3698 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 8.58073 | Solar Rad. (W/m²): 62.2653 | Grav. Anomaly (mGal): -52.3698 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 0.364685 | Solar Rad. (W/m²): 62.2653 | Grav. Anomaly (mGal): -52.3698 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 0.364685 | Solar Rad. (W/m²): 62.2653 | Grav. Anomaly (mGal): -55.5553 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 10.1966 | Solar Rad. (W/m²): 62.2653 | Grav. Anomaly (mGal): -55.5553 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 1.85063 | Solar Rad. (W/m²): 62.2653 | Grav. Anomaly (mGal): -55.5553 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 1.85063 | Solar Rad. (W/m²): 16.6744 | Grav. Anomaly (mGal): -65.6096 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 1.85063 | Solar Rad. (W/m²): 16.6744 | Grav. Anomaly (mGal): -65.6096 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 5.65024 | Solar Rad. (W/m²): 16.6744 | Grav. Anomaly (mGal): -65.6096 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): -0.202907 | Solar Rad. (W/m²): 16.6744 | Grav. Anomaly (mGal): -65.6096 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): -0.202907 | Solar Rad. (W/m²): 16.6744 | Grav. Anomaly (mGal): -53.7652 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 5.23084 | Solar Rad. (W/m²): 16.6744 | Grav. Anomaly (mGal): -53.7652 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 5.23084 | Solar Rad. (W/m²): 15.1271 | Grav. Anomaly (mGal): -53.7652 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): -1.55617 | Solar Rad. (W/m²): 15.1271 | Grav. Anomaly (mGal): -53.7652 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): -1.55617 | Solar Rad. (W/m²): 15.1271 | Grav. Anomaly (mGal): -61.6075 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 6.0434 | Solar Rad. (W/m²): 15.1271 | Grav. Anomaly (mGal): -61.6075 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): -4.41627 | Solar Rad. (W/m²): 15.1271 | Grav. Anomaly (mGal): -61.6075 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): -4.41627 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): -58.3607 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): -4.41627 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): -58.3607 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): -0.286628 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): -58.3607 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): -5.21873 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): -58.3607 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -5.21873 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): -41.1238 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -18.3732 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): -41.1238 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -18.3732 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): -41.1238 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -10.7729 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): -41.1238 | ATCS Status: On | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -10.7729 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): -34.995 | ATCS Status: On | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -5.91985 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): -34.995 | ATCS Status: On | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): 4.86493 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): -34.995 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 4.86493 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): -22.7466 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 4.86493 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): -22.7466 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 14.4898 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): -22.7466 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 8.65893 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): -22.7466 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 8.65893 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): -19.8969 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 2.52226 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): -19.8969 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 2.52226 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): -19.8969 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 7.93877 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): -19.8969 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 7.93877 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): -0.212435 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 5.21667 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): -0.212435 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 3.484 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): -0.212435 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 3.484 | Solar Rad. (W/m²): 27.1284 | Grav. Anomaly (mGal): 13.7896 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 3.484 | Solar Rad. (W/m²): 27.1284 | Grav. Anomaly (mGal): 13.7896 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 10.3939 | Solar Rad. (W/m²): 27.1284 | Grav. Anomaly (mGal): 13.7896 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 6.63966 | Solar Rad. (W/m²): 27.1284 | Grav. Anomaly (mGal): 13.7896 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 6.63966 | Solar Rad. (W/m²): 27.1284 | Grav. Anomaly (mGal): 4.05149 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 6.52839 | Solar Rad. (W/m²): 27.1284 | Grav. Anomaly (mGal): 4.05149 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 6.52839 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): 4.05149 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): -1.47536 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): 4.05149 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): -1.47536 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): -8.8991 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 0.914131 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): -8.8991 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 12.0675 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): -8.8991 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 12.0675 | Solar Rad. (W/m²): 0.124467 | Grav. Anomaly (mGal): -9.47226 | ATCS Status: Off | Outside Operational Temp: No | Operational: Yes
Temp (°C): 12.0675 | Solar Rad. (W/m²): 0.124467 | Grav. Anomaly (mGal): -9.47226 | ATCS Status: Off | Outside Operational Temp: No | Operational: Yes
Temp (°C): -1.28815 | Solar Rad. (W/m²): 0.124467 | Grav. Anomaly (mGal): -9.47226 | ATCS Status: Off | Outside Operational Temp: No | Operational: Yes
Temp (°C): -37.6224 | Solar Rad. (W/m²): 0.124467 | Grav. Anomaly (mGal): -9.47226 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -37.6224 | Solar Rad. (W/m²): 0.124467 | Grav. Anomaly (mGal): -8.87233 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -1.99556 | Solar Rad. (W/m²): 0.124467 | Grav. Anomaly (mGal): -8.87233 | ATCS Status: Off | Outside Operational Temp: No | Operational: Yes
Temp (°C): -1.99556 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): -8.87233 | ATCS Status: Off | Outside Operational Temp: No | Operational: Yes
Temp (°C): 0.462283 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): -8.87233 | ATCS Status: Off | Outside Operational Temp: No | Operational: Yes
Temp (°C): 0.462283 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): -0.195541 | ATCS Status: Off | Outside Operational Temp: No | Operational: Yes
Temp (°C): -12.2037 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): -0.195541 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): 9.28635 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): -0.195541 | ATCS Status: Off | Outside Operational Temp: No | Operational: Yes
Temp (°C): 9.28635 | Solar Rad. (W/m²): 24.0072 | Grav. Anomaly (mGal): 1.06597 | ATCS Status: Off | Outside Operational Temp: No | Operational: Yes
Temp (°C): 9.28635 | Solar Rad. (W/m²): 24.0072 | Grav. Anomaly (mGal): 1.06597 | ATCS Status: Off | Outside Operational Temp: No | Operational: Yes
Temp (°C): -26.7236 | Solar Rad. (W/m²): 24.0072 | Grav. Anomaly (mGal): 1.06597 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -2.23224 | Solar Rad. (W/m²): 24.0072 | Grav. Anomaly (mGal): 1.06597 | ATCS Status: Off | Outside Operational Temp: No | Operational: Yes
Temp (°C): -2.23224 | Solar Rad. (W/m²): 24.0072 | Grav. Anomaly (mGal): 6.82432 | ATCS Status: Off | Outside Operational Temp: No | Operational: Yes
Temp (°C): 39.6488 | Solar Rad. (W/m²): 24.0072 | Grav. Anomaly (mGal): 6.82432 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
